date,game_id,home_team,away_team,winner
2025-10-07,1,Florida Panthers,Chicago Blackhawks,Florida Panthers
2025-10-07,2,New York Rangers,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-07,3,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche
2025-10-08,4,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs
2025-10-08,5,Washington Capitals,Boston Bruins,Boston Bruins
2025-10-08,6,Edmonton Oilers,Calgary Flames,Calgary Flames
2025-10-08,7,Vegas Golden Knights,Los Angeles Kings,Los Angeles Kings
2025-10-09,8,Boston Bruins,Chicago Blackhawks,Boston Bruins
2025-10-09,9,Buffalo Sabres,New York Rangers,New York Rangers
2025-10-09,10,Detroit Red Wings,Montreal Canadiens,Montreal Canadiens
2025-10-09,11,Tampa Bay Lightning,Ottawa Senators,Ottawa Senators
2025-10-09,12,Florida Panthers,Philadelphia Flyers,Florida Panthers
2025-10-09,13,Pittsburgh Penguins,New York Islanders,Pittsburgh Penguins
2025-10-09,14,Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes
2025-10-09,15,St. Louis Blues,Minnesota Wild,Minnesota Wild
2025-10-09,16,Nashville Predators,Columbus Blue Jackets,Nashville Predators
2025-10-09,17,Winnipeg Jets,Dallas Stars,Dallas Stars
2025-10-09,18,Colorado Avalanche,Utah Mammoth,Colorado Avalanche
2025-10-09,19,Vancouver Canucks,Calgary Flames,Vancouver Canucks
2025-10-09,20,San Jose Sharks,Vegas Golden Knights,Vegas Golden Knights
2025-10-09,21,Seattle Kraken,Anaheim Ducks,Seattle Kraken
2025-10-11,22,Winnipeg Jets,Los Angeles Kings,Winnipeg Jets
2025-10-11,23,Calgary Flames,St. Louis Blues,St. Louis Blues
2025-10-11,24,Boston Bruins,Buffalo Sabres,Boston Bruins
2025-10-11,25,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings
2025-10-11,26,Tampa Bay Lightning,New Jersey Devils,New Jersey Devils
2025-10-11,27,Florida Panthers,Ottawa Senators,Florida Panthers
2025-10-11,28,New York Islanders,Washington Capitals,Washington Capitals
2025-10-11,29,Pittsburgh Penguins,New York Rangers,New York Rangers
2025-10-11,30,Carolina Hurricanes,Philadelphia Flyers,Carolina Hurricanes
2025-10-11,31,Chicago Blackhawks,Montreal Canadiens,Montreal Canadiens
2025-10-11,32,Nashville Predators,Utah Mammoth,Utah Mammoth
2025-10-11,33,Minnesota Wild,Columbus Blue Jackets,Columbus Blue Jackets
2025-10-11,34,Colorado Avalanche,Dallas Stars,Dallas Stars
2025-10-11,35,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers
2025-10-11,36,San Jose Sharks,Anaheim Ducks,Anaheim Ducks
2025-10-11,37,Seattle Kraken,Vegas Golden Knights,Seattle Kraken
2025-10-12,38,New York Rangers,Washington Capitals,Washington Capitals
2025-10-13,39,Buffalo Sabres,Colorado Avalanche,Colorado Avalanche
2025-10-13,40,Boston Bruins,Tampa Bay Lightning,Tampa Bay Lightning
2025-10-13,41,Ottawa Senators,Nashville Predators,Nashville Predators
2025-10-13,42,New York Islanders,Winnipeg Jets,Winnipeg Jets
2025-10-13,43,Toronto Maple Leafs,Detroit Red Wings,Detroit Red Wings
2025-10-13,44,Philadelphia Flyers,Florida Panthers,Philadelphia Flyers
2025-10-13,45,Columbus Blue Jackets,New Jersey Devils,New Jersey Devils
2025-10-13,46,Vancouver Canucks,St. Louis Blues,St. Louis Blues
2025-10-13,47,Minnesota Wild,Los Angeles Kings,Minnesota Wild
2025-10-13,48,Chicago Blackhawks,Utah Mammoth,Chicago Blackhawks
2025-10-14,49,Toronto Maple Leafs,Nashville Predators,Toronto Maple Leafs
2025-10-14,50,Montreal Canadiens,Seattle Kraken,Montreal Canadiens
2025-10-14,51,New York Rangers,Edmonton Oilers,Edmonton Oilers
2025-10-14,52,Washington Capitals,Tampa Bay Lightning,Washington Capitals
2025-10-14,53,Calgary Flames,Vegas Golden Knights,Vegas Golden Knights
2025-10-14,54,Dallas Stars,Minnesota Wild,Dallas Stars
2025-10-14,55,San Jose Sharks,Carolina Hurricanes,Carolina Hurricanes
2025-10-14,56,Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks
2025-10-15,57,Buffalo Sabres,Ottawa Senators,Buffalo Sabres
2025-10-15,58,Detroit Red Wings,Florida Panthers,Detroit Red Wings
2025-10-15,59,St. Louis Blues,Chicago Blackhawks,Chicago Blackhawks
2025-10-15,60,Utah Mammoth,Calgary Flames,Utah Mammoth
2025-10-16,61,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs
2025-10-16,62,Montreal Canadiens,Nashville Predators,Montreal Canadiens
2025-10-16,63,Ottawa Senators,Seattle Kraken,Ottawa Senators
2025-10-16,64,New Jersey Devils,Florida Panthers,New Jersey Devils
2025-10-16,65,New York Islanders,Edmonton Oilers,New York Islanders
2025-10-16,66,Philadelphia Flyers,Winnipeg Jets,Winnipeg Jets
2025-10-16,67,Columbus Blue Jackets,Colorado Avalanche,Colorado Avalanche
2025-10-16,68,Dallas Stars,Vancouver Canucks,Vancouver Canucks
2025-10-16,69,Vegas Golden Knights,Boston Bruins,Vegas Golden Knights
2025-10-16,70,Anaheim Ducks,Carolina Hurricanes,Carolina Hurricanes
2025-10-16,71,Los Angeles Kings,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-17,72,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings
2025-10-17,73,Washington Capitals,Minnesota Wild,Washington Capitals
2025-10-17,74,Chicago Blackhawks,Vancouver Canucks,Vancouver Canucks
2025-10-17,75,Utah Mammoth,San Jose Sharks,Utah Mammoth
2025-10-18,76,Buffalo Sabres,Florida Panthers,Buffalo Sabres
2025-10-18,77,Ottawa Senators,New York Islanders,New York Islanders
2025-10-18,78,New Jersey Devils,Edmonton Oilers,New Jersey Devils
2025-10-18,79,Toronto Maple Leafs,Seattle Kraken,Seattle Kraken
2025-10-18,80,Montreal Canadiens,New York Rangers,New York Rangers
2025-10-18,81,Philadelphia Flyers,Minnesota Wild,Philadelphia Flyers
2025-10-18,82,Columbus Blue Jackets,Tampa Bay Lightning,Columbus Blue Jackets
2025-10-18,83,St. Louis Blues,Dallas Stars,St. Louis Blues
2025-10-18,84,Winnipeg Jets,Nashville Predators,Winnipeg Jets
2025-10-18,85,Colorado Avalanche,Boston Bruins,Colorado Avalanche
2025-10-18,86,Los Angeles Kings,Carolina Hurricanes,Carolina Hurricanes
2025-10-18,87,Vegas Golden Knights,Calgary Flames,Vegas Golden Knights
2025-10-18,88,San Jose Sharks,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-19,89,Washington Capitals,Vancouver Canucks,Vancouver Canucks
2025-10-19,90,Detroit Red Wings,Edmonton Oilers,Detroit Red Wings
2025-10-19,91,Chicago Blackhawks,Anaheim Ducks,Chicago Blackhawks
2025-10-19,92,Utah Mammoth,Boston Bruins,Utah Mammoth
2025-10-20,93,New York Rangers,Minnesota Wild,Minnesota Wild
2025-10-20,94,Philadelphia Flyers,Seattle Kraken,Philadelphia Flyers
2025-10-20,95,Montreal Canadiens,Buffalo Sabres,Montreal Canadiens
2025-10-20,96,Calgary Flames,Winnipeg Jets,Winnipeg Jets
2025-10-20,97,Vegas Golden Knights,Carolina Hurricanes,Vegas Golden Knights
2025-10-21,98,Toronto Maple Leafs,New Jersey Devils,New Jersey Devils
2025-10-21,99,Ottawa Senators,Edmonton Oilers,Edmonton Oilers
2025-10-21,100,New York Islanders,San Jose Sharks,New York Islanders
2025-10-21,101,Pittsburgh Penguins,Vancouver Canucks,Pittsburgh Penguins
2025-10-21,102,Washington Capitals,Seattle Kraken,Washington Capitals
2025-10-21,103,Boston Bruins,Florida Panthers,Florida Panthers
2025-10-21,104,St. Louis Blues,Los Angeles Kings,Los Angeles Kings
2025-10-21,105,Nashville Predators,Anaheim Ducks,Anaheim Ducks
2025-10-21,106,Dallas Stars,Columbus Blue Jackets,Columbus Blue Jackets
2025-10-21,107,Utah Mammoth,Colorado Avalanche,Utah Mammoth
2025-10-22,108,New Jersey Devils,Minnesota Wild,New Jersey Devils
2025-10-22,109,Buffalo Sabres,Detroit Red Wings,Buffalo Sabres
2025-10-22,110,Calgary Flames,Montreal Canadiens,Montreal Canadiens
2025-10-23,111,Boston Bruins,Anaheim Ducks,Anaheim Ducks
2025-10-23,112,Ottawa Senators,Philadelphia Flyers,Ottawa Senators
2025-10-23,113,Tampa Bay Lightning,Chicago Blackhawks,Chicago Blackhawks
2025-10-23,114,Florida Panthers,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-23,115,New York Islanders,Detroit Red Wings,New York Islanders
2025-10-23,116,New York Rangers,San Jose Sharks,San Jose Sharks
2025-10-23,117,St. Louis Blues,Utah Mammoth,Utah Mammoth
2025-10-23,118,Nashville Predators,Vancouver Canucks,Nashville Predators
2025-10-23,119,Dallas Stars,Los Angeles Kings,Los Angeles Kings
2025-10-23,120,Winnipeg Jets,Seattle Kraken,Seattle Kraken
2025-10-23,121,Colorado Avalanche,Carolina Hurricanes,Carolina Hurricanes
2025-10-23,122,Edmonton Oilers,Montreal Canadiens,Edmonton Oilers
2025-10-24,123,Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres
2025-10-24,124,New Jersey Devils,San Jose Sharks,New Jersey Devils
2025-10-24,125,Columbus Blue Jackets,Washington Capitals,Washington Capitals
2025-10-24,126,Winnipeg Jets,Calgary Flames,Winnipeg Jets
2025-10-25,127,Philadelphia Flyers,New York Islanders,Philadelphia Flyers
2025-10-25,128,Boston Bruins,Colorado Avalanche,Boston Bruins
2025-10-25,129,Tampa Bay Lightning,Anaheim Ducks,Tampa Bay Lightning
2025-10-25,130,Florida Panthers,Vegas Golden Knights,Florida Panthers
2025-10-25,131,Minnesota Wild,Utah Mammoth,Utah Mammoth
2025-10-25,132,Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs
2025-10-25,133,Detroit Red Wings,St. Louis Blues,Detroit Red Wings
2025-10-25,134,Pittsburgh Penguins,Columbus Blue Jackets,Columbus Blue Jackets
2025-10-25,135,Washington Capitals,Ottawa Senators,Ottawa Senators
2025-10-25,136,Vancouver Canucks,Montreal Canadiens,Montreal Canadiens
2025-10-25,137,Nashville Predators,Los Angeles Kings,Nashville Predators
2025-10-25,138,Dallas Stars,Carolina Hurricanes,Dallas Stars
2025-10-25,139,Seattle Kraken,Edmonton Oilers,Seattle Kraken
2025-10-26,140,New Jersey Devils,Colorado Avalanche,New Jersey Devils
2025-10-26,141,Tampa Bay Lightning,Vegas Golden Knights,Tampa Bay Lightning
2025-10-26,142,Minnesota Wild,San Jose Sharks,San Jose Sharks
2025-10-26,143,Winnipeg Jets,Utah Mammoth,Utah Mammoth
2025-10-26,144,Chicago Blackhawks,Los Angeles Kings,Los Angeles Kings
2025-10-26,145,Nashville Predators,Dallas Stars,Dallas Stars
2025-10-26,146,Calgary Flames,New York Rangers,Calgary Flames
2025-10-26,147,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks
2025-10-27,148,Pittsburgh Penguins,St. Louis Blues,Pittsburgh Penguins
2025-10-27,149,Ottawa Senators,Boston Bruins,Ottawa Senators
2025-10-28,150,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers
2025-10-28,151,Toronto Maple Leafs,Calgary Flames,Toronto Maple Leafs
2025-10-28,152,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets
2025-10-28,153,Florida Panthers,Anaheim Ducks,Anaheim Ducks
2025-10-28,154,Boston Bruins,New York Islanders,Boston Bruins
2025-10-28,155,Carolina Hurricanes,Vegas Golden Knights,Vegas Golden Knights
2025-10-28,156,Nashville Predators,Tampa Bay Lightning,Tampa Bay Lightning
2025-10-28,157,Minnesota Wild,Winnipeg Jets,Winnipeg Jets
2025-10-28,158,St. Louis Blues,Detroit Red Wings,Detroit Red Wings
2025-10-28,159,Dallas Stars,Washington Capitals,Dallas Stars
2025-10-28,160,Chicago Blackhawks,Ottawa Senators,Chicago Blackhawks
2025-10-28,161,Colorado Avalanche,New Jersey Devils,Colorado Avalanche
2025-10-28,162,Edmonton Oilers,Utah Mammoth,Edmonton Oilers
2025-10-28,163,Vancouver Canucks,New York Rangers,New York Rangers
2025-10-28,164,Seattle Kraken,Montreal Canadiens,Montreal Canadiens
2025-10-28,165,San Jose Sharks,Los Angeles Kings,Los Angeles Kings
2025-10-29,166,Columbus Blue Jackets,Toronto Maple Leafs,Columbus Blue Jackets
2025-10-30,167,Boston Bruins,Buffalo Sabres,Boston Bruins
2025-10-30,168,Ottawa Senators,Calgary Flames,Ottawa Senators
2025-10-30,169,Tampa Bay Lightning,Dallas Stars,Tampa Bay Lightning
2025-10-30,170,Philadelphia Flyers,Nashville Predators,Philadelphia Flyers
2025-10-30,171,Carolina Hurricanes,New York Islanders,Carolina Hurricanes
2025-10-30,172,St. Louis Blues,Vancouver Canucks,Vancouver Canucks
2025-10-30,173,Minnesota Wild,Pittsburgh Penguins,Pittsburgh Penguins
2025-10-30,174,Winnipeg Jets,Chicago Blackhawks,Winnipeg Jets
2025-10-30,175,Edmonton Oilers,New York Rangers,New York Rangers
2025-10-30,176,San Jose Sharks,New Jersey Devils,San Jose Sharks
2025-10-30,177,Los Angeles Kings,Detroit Red Wings,Detroit Red Wings
2025-10-31,178,Vegas Golden Knights,Colorado Avalanche,Colorado Avalanche
2025-10-31,179,Washington Capitals,New York Islanders,New York Islanders
2025-10-31,180,Anaheim Ducks,Detroit Red Wings,Anaheim Ducks
2025-11-01,181,Boston Bruins,Carolina Hurricanes,Boston Bruins
2025-11-01,182,Winnipeg Jets,Pittsburgh Penguins,Winnipeg Jets
2025-11-01,183,Nashville Predators,Calgary Flames,Nashville Predators
2025-11-01,184,San Jose Sharks,Colorado Avalanche,San Jose Sharks
2025-11-01,185,Florida Panthers,Dallas Stars,Florida Panthers
2025-11-01,186,Buffalo Sabres,Washington Capitals,Buffalo Sabres
2025-11-01,187,Montreal Canadiens,Ottawa Senators,Montreal Canadiens
2025-11-01,188,Philadelphia Flyers,Toronto Maple Leafs,Toronto Maple Leafs
2025-11-01,189,Columbus Blue Jackets,St. Louis Blues,Columbus Blue Jackets
2025-11-01,190,Minnesota Wild,Vancouver Canucks,Minnesota Wild
2025-11-01,191,Los Angeles Kings,New Jersey Devils,New Jersey Devils
2025-11-01,192,Edmonton Oilers,Chicago Blackhawks,Edmonton Oilers
2025-11-01,193,Seattle Kraken,New York Rangers,New York Rangers
2025-11-02,194,Utah Mammoth,Tampa Bay Lightning,Tampa Bay Lightning
2025-11-02,195,New York Islanders,Columbus Blue Jackets,New York Islanders
2025-11-02,196,Philadelphia Flyers,Calgary Flames,Calgary Flames
2025-11-02,197,Anaheim Ducks,New Jersey Devils,Anaheim Ducks
2025-11-02,198,San Jose Sharks,Detroit Red Wings,Detroit Red Wings
2025-11-03,199,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs
2025-11-03,200,St. Louis Blues,Edmonton Oilers,St. Louis Blues
2025-11-03,201,Nashville Predators,Vancouver Canucks,Vancouver Canucks
2025-11-03,202,Seattle Kraken,Chicago Blackhawks,Seattle Kraken
2025-11-04,203,Buffalo Sabres,Utah Mammoth,Utah Mammoth
2025-11-04,204,Montreal Canadiens,Philadelphia Flyers,Philadelphia Flyers
2025-11-04,205,New York Islanders,Boston Bruins,Boston Bruins
2025-11-04,206,New York Rangers,Carolina Hurricanes,Carolina Hurricanes
2025-11-04,207,Dallas Stars,Edmonton Oilers,Dallas Stars
2025-11-04,208,Minnesota Wild,Nashville Predators,Minnesota Wild
2025-11-04,209,Colorado Avalanche,Tampa Bay Lightning,Colorado Avalanche
2025-11-04,210,Vegas Golden Knights,Detroit Red Wings,Vegas Golden Knights
2025-11-04,211,Anaheim Ducks,Florida Panthers,Anaheim Ducks
2025-11-04,212,Los Angeles Kings,Winnipeg Jets,Los Angeles Kings
2025-11-05,213,Toronto Maple Leafs,Utah Mammoth,Toronto Maple Leafs
2025-11-05,214,Washington Capitals,St. Louis Blues,Washington Capitals
2025-11-05,215,Calgary Flames,Columbus Blue Jackets,Calgary Flames
2025-11-05,216,Vancouver Canucks,Chicago Blackhawks,Chicago Blackhawks
2025-11-05,217,Seattle Kraken,San Jose Sharks,San Jose Sharks
2025-11-06,218,Boston Bruins,Ottawa Senators,Boston Bruins
2025-11-06,219,Buffalo Sabres,St. Louis Blues,St. Louis Blues
2025-11-06,220,New Jersey Devils,Montreal Canadiens,New Jersey Devils
2025-11-06,221,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins
2025-11-06,222,Carolina Hurricanes,Minnesota Wild,Carolina Hurricanes
2025-11-06,223,Nashville Predators,Philadelphia Flyers,Philadelphia Flyers
2025-11-06,224,Dallas Stars,Anaheim Ducks,Anaheim Ducks
2025-11-06,225,Vegas Golden Knights,Tampa Bay Lightning,Tampa Bay Lightning
2025-11-06,226,Los Angeles Kings,Florida Panthers,Florida Panthers
2025-11-07,227,Detroit Red Wings,New York Rangers,New York Rangers
2025-11-07,228,New York Islanders,Minnesota Wild,Minnesota Wild
2025-11-07,229,Calgary Flames,Chicago Blackhawks,Chicago Blackhawks
2025-11-07,230,San Jose Sharks,Winnipeg Jets,San Jose Sharks
2025-11-08,231,New Jersey Devils,Pittsburgh Penguins,New Jersey Devils
2025-11-08,232,Philadelphia Flyers,Ottawa Senators,Ottawa Senators
2025-11-08,233,Nashville Predators,Dallas Stars,Dallas Stars
2025-11-08,234,Toronto Maple Leafs,Boston Bruins,Boston Bruins
2025-11-08,235,Montreal Canadiens,Utah Mammoth,Montreal Canadiens
2025-11-08,236,Tampa Bay Lightning,Washington Capitals,Tampa Bay Lightning
2025-11-08,237,New York Rangers,New York Islanders,New York Islanders
2025-11-08,238,Carolina Hurricanes,Buffalo Sabres,Carolina Hurricanes
2025-11-08,239,St. Louis Blues,Seattle Kraken,Seattle Kraken
2025-11-08,240,Edmonton Oilers,Colorado Avalanche,Colorado Avalanche
2025-11-08,241,Vancouver Canucks,Columbus Blue Jackets,Vancouver Canucks
2025-11-08,242,Vegas Golden Knights,Anaheim Ducks,Anaheim Ducks
2025-11-08,243,San Jose Sharks,Florida Panthers,San Jose Sharks
2025-11-09,244,Detroit Red Wings,Chicago Blackhawks,Chicago Blackhawks
2025-11-09,245,Pittsburgh Penguins,Los Angeles Kings,Los Angeles Kings
2025-11-09,246,Toronto Maple Leafs,Carolina Hurricanes,Carolina Hurricanes
2025-11-09,247,Ottawa Senators,Utah Mammoth,Ottawa Senators
2025-11-09,248,Dallas Stars,Seattle Kraken,Dallas Stars
2025-11-09,249,Minnesota Wild,Calgary Flames,Minnesota Wild
2025-11-09,250,Vancouver Canucks,Colorado Avalanche,Colorado Avalanche
2025-11-09,251,Anaheim Ducks,Winnipeg Jets,Anaheim Ducks
2025-11-10,252,New Jersey Devils,New York Islanders,New York Islanders
2025-11-10,253,New York Rangers,Nashville Predators,New York Rangers
2025-11-10,254,Edmonton Oilers,Columbus Blue Jackets,Edmonton Oilers
2025-11-10,255,Vegas Golden Knights,Florida Panthers,Florida Panthers
2025-11-11,256,Boston Bruins,Toronto Maple Leafs,Boston Bruins
2025-11-11,257,Montreal Canadiens,Los Angeles Kings,Los Angeles Kings
2025-11-11,258,Ottawa Senators,Dallas Stars,Dallas Stars
2025-11-11,259,Carolina Hurricanes,Washington Capitals,Washington Capitals
2025-11-11,260,St. Louis Blues,Calgary Flames,St. Louis Blues
2025-11-11,261,Minnesota Wild,San Jose Sharks,San Jose Sharks
2025-11-11,262,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche
2025-11-11,263,Vancouver Canucks,Winnipeg Jets,Winnipeg Jets
2025-11-11,264,Seattle Kraken,Columbus Blue Jackets,Columbus Blue Jackets
2025-11-12,265,Tampa Bay Lightning,New York Rangers,New York Rangers
2025-11-12,266,Philadelphia Flyers,Edmonton Oilers,Edmonton Oilers
2025-11-12,267,Utah Mammoth,Buffalo Sabres,Utah Mammoth
2025-11-12,268,Chicago Blackhawks,New Jersey Devils,New Jersey Devils
2025-11-13,269,Toronto Maple Leafs,Los Angeles Kings,Los Angeles Kings
2025-11-13,270,Montreal Canadiens,Dallas Stars,Dallas Stars
2025-11-13,271,Ottawa Senators,Boston Bruins,Ottawa Senators
2025-11-13,272,Detroit Red Wings,Anaheim Ducks,Detroit Red Wings
2025-11-13,273,Florida Panthers,Washington Capitals,Florida Panthers
2025-11-13,274,Columbus Blue Jackets,Edmonton Oilers,Columbus Blue Jackets
2025-11-13,275,Colorado Avalanche,Buffalo Sabres,Colorado Avalanche
2025-11-13,276,Calgary Flames,San Jose Sharks,Calgary Flames
2025-11-13,277,Vegas Golden Knights,New York Islanders,New York Islanders
2025-11-13,278,Seattle Kraken,Winnipeg Jets,Seattle Kraken
2025-11-14,279,Nashville Predators,Pittsburgh Penguins,Nashville Predators
2025-11-14,280,Carolina Hurricanes,Vancouver Canucks,Carolina Hurricanes
2025-11-14,281,St. Louis Blues,Philadelphia Flyers,Philadelphia Flyers
2025-11-14,282,Utah Mammoth,New York Islanders,New York Islanders
2025-11-15,283,Florida Panthers,Tampa Bay Lightning,Tampa Bay Lightning
2025-11-15,284,Minnesota Wild,Anaheim Ducks,Minnesota Wild
2025-11-15,285,Montreal Canadiens,Boston Bruins,Boston Bruins
2025-11-15,286,Ottawa Senators,Los Angeles Kings,Los Angeles Kings
2025-11-15,287,Detroit Red Wings,Buffalo Sabres,Buffalo Sabres
2025-11-15,288,Washington Capitals,New Jersey Devils,New Jersey Devils
2025-11-15,289,Carolina Hurricanes,Edmonton Oilers,Edmonton Oilers
2025-11-15,290,Columbus Blue Jackets,New York Rangers,New York Rangers
2025-11-15,291,Chicago Blackhawks,Toronto Maple Leafs,Chicago Blackhawks
2025-11-15,292,St. Louis Blues,Vegas Golden Knights,Vegas Golden Knights
2025-11-15,293,Dallas Stars,Philadelphia Flyers,Dallas Stars
2025-11-15,294,Calgary Flames,Winnipeg Jets,Winnipeg Jets
2025-11-15,295,Seattle Kraken,San Jose Sharks,Seattle Kraken
2025-11-16,296,Pittsburgh Penguins,Nashville Predators,Pittsburgh Penguins
2025-11-16,297,Tampa Bay Lightning,Vancouver Canucks,Vancouver Canucks
2025-11-16,298,Minnesota Wild,Vegas Golden Knights,Minnesota Wild
2025-11-16,299,New York Rangers,Detroit Red Wings,Detroit Red Wings
2025-11-16,300,Colorado Avalanche,New York Islanders,Colorado Avalanche
2025-11-17,301,Boston Bruins,Carolina Hurricanes,Carolina Hurricanes
2025-11-17,302,Buffalo Sabres,Edmonton Oilers,Buffalo Sabres
2025-11-17,303,Florida Panthers,Vancouver Canucks,Florida Panthers
2025-11-17,304,Washington Capitals,Los Angeles Kings,Washington Capitals
2025-11-17,305,Columbus Blue Jackets,Montreal Canadiens,Columbus Blue Jackets
2025-11-17,306,Anaheim Ducks,Utah Mammoth,Anaheim Ducks
2025-11-18,307,Toronto Maple Leafs,St. Louis Blues,Toronto Maple Leafs
2025-11-18,308,Detroit Red Wings,Seattle Kraken,Detroit Red Wings
2025-11-18,309,Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning
2025-11-18,310,Dallas Stars,New York Islanders,New York Islanders
2025-11-18,311,Winnipeg Jets,Columbus Blue Jackets,Winnipeg Jets
2025-11-18,312,Chicago Blackhawks,Calgary Flames,Chicago Blackhawks
2025-11-18,313,Vegas Golden Knights,New York Rangers,Vegas Golden Knights
2025-11-18,314,San Jose Sharks,Utah Mammoth,San Jose Sharks
2025-11-19,315,Washington Capitals,Edmonton Oilers,Washington Capitals
2025-11-19,316,Buffalo Sabres,Calgary Flames,Calgary Flames
2025-11-19,317,Minnesota Wild,Carolina Hurricanes,Minnesota Wild
2025-11-19,318,Anaheim Ducks,Boston Bruins,Anaheim Ducks
2025-11-20,319,Toronto Maple Leafs,Columbus Blue Jackets,Columbus Blue Jackets
2025-11-20,320,Montreal Canadiens,Washington Capitals,Washington Capitals
2025-11-20,321,Detroit Red Wings,New York Islanders,New York Islanders
2025-11-20,322,Tampa Bay Lightning,Edmonton Oilers,Edmonton Oilers
2025-11-20,323,Florida Panthers,New Jersey Devils,New Jersey Devils
2025-11-20,324,Philadelphia Flyers,St. Louis Blues,St. Louis Blues
2025-11-20,325,Chicago Blackhawks,Seattle Kraken,Seattle Kraken
2025-11-20,326,Colorado Avalanche,New York Rangers,New York Rangers
2025-11-20,327,Utah Mammoth,Vegas Golden Knights,Vegas Golden Knights
2025-11-20,328,Vancouver Canucks,Dallas Stars,Dallas Stars
2025-11-20,329,Anaheim Ducks,Ottawa Senators,Ottawa Senators
2025-11-20,330,San Jose Sharks,Los Angeles Kings,Los Angeles Kings
