date,game_id,home_team,away_team,winner
2026-01-04,660,New Jersey Devils,Carolina Hurricanes,Carolina Hurricanes
2026-01-04,661,Chicago Blackhawks,Vegas Golden Knights,Vegas Golden Knights
2026-01-05,662,New York Rangers,Utah Mammoth,Utah Mammoth
2026-01-05,663,Washington Capitals,Anaheim Ducks,Anaheim Ducks
2026-01-05,664,Ottawa Senators,Detroit Red Wings,Detroit Red Wings
2026-01-05,665,Calgary Flames,Seattle Kraken,Seattle Kraken
2026-01-05,666,Los Angeles Kings,Minnesota Wild,Minnesota Wild
2026-01-06,667,Buffalo Sabres,Vancouver Canucks,Vancouver Canucks
2026-01-06,668,Tampa Bay Lightning,Colorado Avalanche,Colorado Avalanche
2026-01-06,669,New York Islanders,New Jersey Devils,New Jersey Devils
2026-01-06,670,Philadelphia Flyers,Anaheim Ducks,Anaheim Ducks
2026-01-06,671,Carolina Hurricanes,Dallas Stars,Dallas Stars
2026-01-06,672,Toronto Maple Leafs,Florida Panthers,Florida Panthers
2026-01-06,673,Winnipeg Jets,Vegas Golden Knights,Vegas Golden Knights
2026-01-06,674,Edmonton Oilers,Nashville Predators,Nashville Predators
2026-01-06,675,San Jose Sharks,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-06,676,Seattle Kraken,Boston Bruins,Boston Bruins
2026-01-07,677,Washington Capitals,Dallas Stars,Dallas Stars
2026-01-07,678,Montreal Canadiens,Calgary Flames,Calgary Flames
2026-01-07,679,Chicago Blackhawks,St. Louis Blues,St. Louis Blues
2026-01-07,680,Utah Mammoth,Ottawa Senators,Ottawa Senators
2026-01-07,681,Los Angeles Kings,San Jose Sharks,San Jose Sharks
2026-01-08,682,Boston Bruins,Calgary Flames,Calgary Flames
2026-01-08,683,Montreal Canadiens,Florida Panthers,Florida Panthers
2026-01-08,684,Detroit Red Wings,Vancouver Canucks,Vancouver Canucks
2026-01-08,685,New York Rangers,Buffalo Sabres,Buffalo Sabres
2026-01-08,686,Philadelphia Flyers,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-08,687,Pittsburgh Penguins,New Jersey Devils,New Jersey Devils
2026-01-08,688,Carolina Hurricanes,Anaheim Ducks,Anaheim Ducks
2026-01-08,689,Nashville Predators,New York Islanders,New York Islanders
2026-01-08,690,Winnipeg Jets,Edmonton Oilers,Edmonton Oilers
2026-01-08,691,Colorado Avalanche,Ottawa Senators,Ottawa Senators
2026-01-08,692,Vegas Golden Knights,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-08,693,Seattle Kraken,Minnesota Wild,Minnesota Wild
2026-01-09,694,Chicago Blackhawks,Washington Capitals,Washington Capitals
2026-01-09,695,Winnipeg Jets,Los Angeles Kings,Los Angeles Kings
2026-01-09,696,Utah Mammoth,St. Louis Blues,St. Louis Blues
2026-01-10,697,Boston Bruins,New York Rangers,New York Rangers
2026-01-10,698,Pittsburgh Penguins,Calgary Flames,Calgary Flames
2026-01-10,699,Colorado Avalanche,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-10,700,San Jose Sharks,Dallas Stars,Dallas Stars
2026-01-10,701,Buffalo Sabres,Anaheim Ducks,Anaheim Ducks
2026-01-10,702,Toronto Maple Leafs,Vancouver Canucks,Vancouver Canucks
2026-01-10,703,Montreal Canadiens,Detroit Red Wings,Detroit Red Wings
2026-01-10,704,Ottawa Senators,Florida Panthers,Florida Panthers
2026-01-10,705,Philadelphia Flyers,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-10,706,Carolina Hurricanes,Seattle Kraken,Seattle Kraken
2026-01-10,707,Nashville Predators,Chicago Blackhawks,Chicago Blackhawks
2026-01-10,708,Minnesota Wild,New York Islanders,New York Islanders
2026-01-10,709,Edmonton Oilers,Los Angeles Kings,Los Angeles Kings
2026-01-10,710,Vegas Golden Knights,St. Louis Blues,St. Louis Blues
2026-01-11,711,Winnipeg Jets,New Jersey Devils,New Jersey Devils
2026-01-11,712,Boston Bruins,Pittsburgh Penguins,Pittsburgh Penguins
2026-01-11,713,Nashville Predators,Washington Capitals,Washington Capitals
2026-01-11,714,Utah Mammoth,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-11,715,San Jose Sharks,Vegas Golden Knights,Vegas Golden Knights
2026-01-12,716,Buffalo Sabres,Florida Panthers,Florida Panthers
2026-01-12,717,Detroit Red Wings,Carolina Hurricanes,Carolina Hurricanes
2026-01-12,718,New York Rangers,Seattle Kraken,Seattle Kraken
2026-01-12,719,Philadelphia Flyers,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-12,720,Montreal Canadiens,Vancouver Canucks,Vancouver Canucks
2026-01-12,721,Minnesota Wild,New Jersey Devils,New Jersey Devils
2026-01-12,722,Chicago Blackhawks,Edmonton Oilers,Edmonton Oilers
2026-01-12,723,Colorado Avalanche,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-12,724,Los Angeles Kings,Dallas Stars,Dallas Stars
2026-01-13,725,Ottawa Senators,Vancouver Canucks,Vancouver Canucks
2026-01-13,726,Pittsburgh Penguins,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-13,727,Washington Capitals,Montreal Canadiens,Montreal Canadiens
2026-01-13,728,Columbus Blue Jackets,Calgary Flames,Calgary Flames
2026-01-13,729,Boston Bruins,Detroit Red Wings,Detroit Red Wings
2026-01-13,730,St. Louis Blues,Carolina Hurricanes,Carolina Hurricanes
2026-01-13,731,Nashville Predators,Edmonton Oilers,Edmonton Oilers
2026-01-13,732,Winnipeg Jets,New York Islanders,New York Islanders
2026-01-13,733,Utah Mammoth,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-13,734,Anaheim Ducks,Dallas Stars,Dallas Stars
2026-01-14,735,New Jersey Devils,Seattle Kraken,Seattle Kraken
2026-01-14,736,Buffalo Sabres,Philadelphia Flyers,Philadelphia Flyers
2026-01-14,737,New York Rangers,Ottawa Senators,Ottawa Senators
2026-01-14,738,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights
2026-01-15,739,Boston Bruins,Seattle Kraken,Seattle Kraken
2026-01-15,740,Buffalo Sabres,Montreal Canadiens,Montreal Canadiens
2026-01-15,741,Pittsburgh Penguins,Philadelphia Flyers,Philadelphia Flyers
2026-01-15,742,Washington Capitals,San Jose Sharks,San Jose Sharks
2026-01-15,743,Columbus Blue Jackets,Vancouver Canucks,Vancouver Canucks
2026-01-15,744,Minnesota Wild,Winnipeg Jets,Winnipeg Jets
2026-01-15,745,Chicago Blackhawks,Calgary Flames,Calgary Flames
2026-01-15,746,Utah Mammoth,Dallas Stars,Dallas Stars
2026-01-15,747,Edmonton Oilers,New York Islanders,New York Islanders
2026-01-15,748,Vegas Golden Knights,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-16,749,Detroit Red Wings,San Jose Sharks,San Jose Sharks
2026-01-16,750,Carolina Hurricanes,Florida Panthers,Florida Panthers
2026-01-16,751,St. Louis Blues,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-16,752,Colorado Avalanche,Nashville Predators,Nashville Predators
2026-01-16,753,Los Angeles Kings,Anaheim Ducks,Anaheim Ducks
2026-01-17,754,Buffalo Sabres,Minnesota Wild,Minnesota Wild
2026-01-17,755,Philadelphia Flyers,New York Rangers,New York Rangers
2026-01-17,756,Calgary Flames,New York Islanders,New York Islanders
2026-01-17,757,Utah Mammoth,Seattle Kraken,Seattle Kraken
2026-01-17,758,Ottawa Senators,Montreal Canadiens,Montreal Canadiens
2026-01-17,759,New Jersey Devils,Carolina Hurricanes,Carolina Hurricanes
2026-01-17,760,Pittsburgh Penguins,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-17,761,Washington Capitals,Florida Panthers,Florida Panthers
2026-01-17,762,Winnipeg Jets,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-17,763,Chicago Blackhawks,Boston Bruins,Boston Bruins
2026-01-17,764,Vancouver Canucks,Edmonton Oilers,Edmonton Oilers
2026-01-17,765,Vegas Golden Knights,Nashville Predators,Nashville Predators
2026-01-17,766,Anaheim Ducks,Los Angeles Kings,Los Angeles Kings
2026-01-18,767,Dallas Stars,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-18,768,Detroit Red Wings,Ottawa Senators,Ottawa Senators
2026-01-18,769,Edmonton Oilers,St. Louis Blues,St. Louis Blues
2026-01-19,770,Carolina Hurricanes,Buffalo Sabres,Buffalo Sabres
2026-01-19,771,Colorado Avalanche,Washington Capitals,Washington Capitals
2026-01-19,772,Seattle Kraken,Pittsburgh Penguins,Pittsburgh Penguins
2026-01-19,773,Florida Panthers,San Jose Sharks,San Jose Sharks
2026-01-19,774,Toronto Maple Leafs,Minnesota Wild,Minnesota Wild
2026-01-19,775,Vegas Golden Knights,Philadelphia Flyers,Philadelphia Flyers
2026-01-19,776,Chicago Blackhawks,Winnipeg Jets,Winnipeg Jets
2026-01-19,777,Calgary Flames,New Jersey Devils,New Jersey Devils
2026-01-19,778,Vancouver Canucks,New York Islanders,New York Islanders
2026-01-19,779,Anaheim Ducks,New York Rangers,New York Rangers
2026-01-20,780,Montreal Canadiens,Minnesota Wild,Minnesota Wild
2026-01-20,781,Tampa Bay Lightning,San Jose Sharks,San Jose Sharks
2026-01-20,782,Columbus Blue Jackets,Ottawa Senators,Ottawa Senators
2026-01-20,783,Dallas Stars,Boston Bruins,Boston Bruins
2026-01-20,784,Nashville Predators,Buffalo Sabres,Buffalo Sabres
2026-01-20,785,Winnipeg Jets,St. Louis Blues,St. Louis Blues
2026-01-20,786,Edmonton Oilers,New Jersey Devils,New Jersey Devils
2026-01-20,787,Los Angeles Kings,New York Rangers,New York Rangers
2026-01-21,788,Toronto Maple Leafs,Detroit Red Wings,Detroit Red Wings
2026-01-21,789,Colorado Avalanche,Anaheim Ducks,Anaheim Ducks
2026-01-21,790,Utah Mammoth,Philadelphia Flyers,Philadelphia Flyers
2026-01-21,791,Calgary Flames,Pittsburgh Penguins,Pittsburgh Penguins
2026-01-21,792,Vancouver Canucks,Washington Capitals,Washington Capitals
2026-01-21,793,Seattle Kraken,New York Islanders,New York Islanders
2026-01-22,794,Boston Bruins,Vegas Golden Knights,Vegas Golden Knights
2026-01-22,795,Montreal Canadiens,Buffalo Sabres,Buffalo Sabres
2026-01-22,796,Carolina Hurricanes,Chicago Blackhawks,Chicago Blackhawks
2026-01-22,797,Columbus Blue Jackets,Dallas Stars,Dallas Stars
2026-01-22,798,Nashville Predators,Ottawa Senators,Ottawa Senators
2026-01-22,799,Winnipeg Jets,Florida Panthers,Florida Panthers
2026-01-22,800,Edmonton Oilers,Pittsburgh Penguins,Pittsburgh Penguins
2026-01-22,801,Minnesota Wild,Detroit Red Wings,Detroit Red Wings
2026-01-23,802,Toronto Maple Leafs,Vegas Golden Knights,Vegas Golden Knights
2026-01-23,803,Chicago Blackhawks,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-23,804,Dallas Stars,St. Louis Blues,St. Louis Blues
2026-01-23,805,Colorado Avalanche,Philadelphia Flyers,Philadelphia Flyers
2026-01-23,806,Calgary Flames,Washington Capitals,Washington Capitals
2026-01-23,807,Vancouver Canucks,New Jersey Devils,New Jersey Devils
2026-01-23,808,San Jose Sharks,New York Rangers,New York Rangers
2026-01-23,809,Seattle Kraken,Anaheim Ducks,Anaheim Ducks
2026-01-24,810,New York Islanders,Buffalo Sabres,Buffalo Sabres
2026-01-24,811,Nashville Predators,Utah Mammoth,Utah Mammoth
2026-01-24,812,Boston Bruins,Montreal Canadiens,Montreal Canadiens
2026-01-24,813,Ottawa Senators,Carolina Hurricanes,Carolina Hurricanes
2026-01-24,814,Columbus Blue Jackets,Tampa Bay Lightning,Tampa Bay Lightning
2026-01-24,815,Winnipeg Jets,Detroit Red Wings,Detroit Red Wings
2026-01-24,816,St. Louis Blues,Los Angeles Kings,Los Angeles Kings
2026-01-24,817,Minnesota Wild,Florida Panthers,Florida Panthers
2026-01-24,818,Edmonton Oilers,Washington Capitals,Washington Capitals
2026-01-25,819,Toronto Maple Leafs,Colorado Avalanche,Colorado Avalanche
2026-01-25,820,Seattle Kraken,New Jersey Devils,New Jersey Devils
2026-01-25,821,Ottawa Senators,Vegas Golden Knights,Vegas Golden Knights
2026-01-25,822,Vancouver Canucks,Pittsburgh Penguins,Pittsburgh Penguins
2026-01-25,823,Chicago Blackhawks,Florida Panthers,Florida Panthers
2026-01-25,824,Calgary Flames,Anaheim Ducks,Anaheim Ducks
2026-01-26,825,Tampa Bay Lightning,Utah Mammoth,Utah Mammoth
2026-01-26,826,New York Rangers,Boston Bruins,Boston Bruins
2026-01-26,827,Philadelphia Flyers,New York Islanders,New York Islanders
2026-01-26,828,Columbus Blue Jackets,Los Angeles Kings,Los Angeles Kings
2026-01-26,829,Edmonton Oilers,Anaheim Ducks,Anaheim Ducks
2026-01-27,830,Boston Bruins,Nashville Predators,Nashville Predators
2026-01-27,831,Toronto Maple Leafs,Buffalo Sabres,Buffalo Sabres
2026-01-27,832,Montreal Canadiens,Vegas Golden Knights,Vegas Golden Knights
2026-01-27,833,Detroit Red Wings,Los Angeles Kings,Los Angeles Kings
2026-01-27,834,Florida Panthers,Utah Mammoth,Utah Mammoth
2026-01-27,835,New Jersey Devils,Winnipeg Jets,Winnipeg Jets
2026-01-27,836,St. Louis Blues,Dallas Stars,Dallas Stars
2026-01-27,837,Minnesota Wild,Chicago Blackhawks,Chicago Blackhawks
2026-01-27,838,Vancouver Canucks,San Jose Sharks,San Jose Sharks
2026-01-27,839,Seattle Kraken,Washington Capitals,Washington Capitals
2026-01-28,840,Columbus Blue Jackets,Philadelphia Flyers,Philadelphia Flyers
2026-01-28,841,Ottawa Senators,Colorado Avalanche,Colorado Avalanche
2026-01-28,842,New York Islanders,New York Rangers,New York Rangers
2026-01-29,843,Boston Bruins,Philadelphia Flyers,Philadelphia Flyers
2026-01-29,844,Buffalo Sabres,Los Angeles Kings,Los Angeles Kings
2026-01-29,845,Montreal Canadiens,Colorado Avalanche,Colorado Avalanche
2026-01-29,846,Detroit Red Wings,Washington Capitals,Washington Capitals
2026-01-29,847,Tampa Bay Lightning,Winnipeg Jets,Winnipeg Jets
2026-01-29,848,New Jersey Devils,Nashville Predators,Nashville Predators
2026-01-29,849,New York Rangers,New York Islanders,New York Islanders
2026-01-29,850,Pittsburgh Penguins,Chicago Blackhawks,Chicago Blackhawks
2026-01-29,851,Carolina Hurricanes,Utah Mammoth,Utah Mammoth
2026-01-29,852,St. Louis Blues,Florida Panthers,Florida Panthers
2026-01-29,853,Minnesota Wild,Calgary Flames,Calgary Flames
2026-01-29,854,Edmonton Oilers,San Jose Sharks,San Jose Sharks
2026-01-29,855,Vancouver Canucks,Anaheim Ducks,Anaheim Ducks
2026-01-29,856,Vegas Golden Knights,Dallas Stars,Dallas Stars
2026-01-29,857,Seattle Kraken,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-30,858,Chicago Blackhawks,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-31,859,Philadelphia Flyers,Los Angeles Kings,Los Angeles Kings
2026-01-31,860,Detroit Red Wings,Colorado Avalanche,Colorado Avalanche
2026-01-31,861,Pittsburgh Penguins,New York Rangers,New York Rangers
2026-01-31,862,Florida Panthers,Winnipeg Jets,Winnipeg Jets
2026-01-31,863,Calgary Flames,San Jose Sharks,San Jose Sharks
2026-01-31,864,Washington Capitals,Carolina Hurricanes,Carolina Hurricanes
2026-01-31,865,Buffalo Sabres,Montreal Canadiens,Montreal Canadiens
2026-01-31,866,Ottawa Senators,New Jersey Devils,New Jersey Devils
2026-01-31,867,New York Islanders,Nashville Predators,Nashville Predators
2026-01-31,868,St. Louis Blues,Columbus Blue Jackets,Columbus Blue Jackets
2026-01-31,869,Vancouver Canucks,Toronto Maple Leafs,Toronto Maple Leafs
2026-01-31,870,Utah Mammoth,Dallas Stars,Dallas Stars
2026-01-31,871,Edmonton Oilers,Minnesota Wild,Minnesota Wild
2026-01-31,872,Vegas Golden Knights,Seattle Kraken,Seattle Kraken
2026-02-01,873,Tampa Bay Lightning,Boston Bruins,Boston Bruins
2026-02-01,874,Carolina Hurricanes,Los Angeles Kings,Los Angeles Kings
2026-02-01,875,Anaheim Ducks,Vegas Golden Knights,Vegas Golden Knights
2026-02-02,876,Florida Panthers,Buffalo Sabres,Buffalo Sabres
2026-02-02,877,Pittsburgh Penguins,Ottawa Senators,Ottawa Senators
2026-02-02,878,Washington Capitals,New York Islanders,New York Islanders
2026-02-02,879,Minnesota Wild,Montreal Canadiens,Montreal Canadiens
2026-02-02,880,Nashville Predators,St. Louis Blues,St. Louis Blues
2026-02-02,881,Chicago Blackhawks,San Jose Sharks,San Jose Sharks
2026-02-02,882,Dallas Stars,Winnipeg Jets,Winnipeg Jets
2026-02-02,883,Colorado Avalanche,Detroit Red Wings,Detroit Red Wings
2026-02-02,884,Utah Mammoth,Vancouver Canucks,Vancouver Canucks
2026-02-02,885,Calgary Flames,Toronto Maple Leafs,Toronto Maple Leafs
2026-02-03,886,Tampa Bay Lightning,Buffalo Sabres,Buffalo Sabres
2026-02-03,887,New Jersey Devils,Columbus Blue Jackets,Columbus Blue Jackets
2026-02-03,888,New York Islanders,Pittsburgh Penguins,Pittsburgh Penguins
2026-02-03,889,Philadelphia Flyers,Washington Capitals,Washington Capitals
2026-02-03,890,Carolina Hurricanes,Ottawa Senators,Ottawa Senators
2026-02-03,891,Edmonton Oilers,Toronto Maple Leafs,Toronto Maple Leafs
2026-02-03,892,Anaheim Ducks,Seattle Kraken,Seattle Kraken
2026-02-04,893,Florida Panthers,Boston Bruins,Boston Bruins
2026-02-04,894,Columbus Blue Jackets,Chicago Blackhawks,Chicago Blackhawks
2026-02-04,895,Winnipeg Jets,Montreal Canadiens,Montreal Canadiens
2026-02-04,896,Nashville Predators,Minnesota Wild,Minnesota Wild
2026-02-04,897,Colorado Avalanche,San Jose Sharks,San Jose Sharks
2026-02-04,898,Utah Mammoth,Detroit Red Wings,Detroit Red Wings
2026-02-04,899,Dallas Stars,St. Louis Blues,St. Louis Blues
2026-02-04,900,Calgary Flames,Edmonton Oilers,Edmonton Oilers
2026-02-04,901,Vegas Golden Knights,Vancouver Canucks,Vancouver Canucks
2026-02-04,902,Los Angeles Kings,Seattle Kraken,Seattle Kraken
2026-02-05,903,Buffalo Sabres,Pittsburgh Penguins,Pittsburgh Penguins
2026-02-05,904,Tampa Bay Lightning,Florida Panthers,Florida Panthers
2026-02-05,905,New Jersey Devils,New York Islanders,New York Islanders
2026-02-05,906,New York Rangers,Carolina Hurricanes,Carolina Hurricanes
2026-02-05,907,Philadelphia Flyers,Ottawa Senators,Ottawa Senators
2026-02-05,908,Washington Capitals,Nashville Predators,Nashville Predators
2026-02-05,909,Vegas Golden Knights,Los Angeles Kings,Los Angeles Kings
2026-02-25,910,New Jersey Devils,Buffalo Sabres,Buffalo Sabres
2026-02-25,911,Washington Capitals,Philadelphia Flyers,Philadelphia Flyers
2026-02-25,912,Tampa Bay Lightning,Toronto Maple Leafs,Toronto Maple Leafs
2026-02-25,913,Dallas Stars,Seattle Kraken,Seattle Kraken
2026-02-25,914,Utah Mammoth,Colorado Avalanche,Colorado Avalanche
2026-02-25,915,Vancouver Canucks,Winnipeg Jets,Winnipeg Jets
2026-02-25,916,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights
2026-02-25,917,Anaheim Ducks,Edmonton Oilers,Edmonton Oilers
2026-02-26,918,Boston Bruins,Columbus Blue Jackets,Columbus Blue Jackets
2026-02-26,919,Montreal Canadiens,New York Islanders,New York Islanders
2026-02-26,920,Ottawa Senators,Detroit Red Wings,Detroit Red Wings
2026-02-26,921,Florida Panthers,Toronto Maple Leafs,Toronto Maple Leafs
2026-02-26,922,Pittsburgh Penguins,New Jersey Devils,New Jersey Devils
2026-02-26,923,Carolina Hurricanes,Tampa Bay Lightning,Tampa Bay Lightning
2026-02-26,924,New York Rangers,Philadelphia Flyers,Philadelphia Flyers
2026-02-26,925,St. Louis Blues,Seattle Kraken,Seattle Kraken
2026-02-26,926,Nashville Predators,Chicago Blackhawks,Chicago Blackhawks
2026-02-26,927,Colorado Avalanche,Minnesota Wild,Minnesota Wild
2026-02-26,928,San Jose Sharks,Calgary Flames,Calgary Flames
2026-02-26,929,Los Angeles Kings,Edmonton Oilers,Edmonton Oilers
2026-02-27,930,Florida Panthers,Buffalo Sabres,Buffalo Sabres
2026-02-27,931,Washington Capitals,Vegas Golden Knights,Vegas Golden Knights
2026-02-27,932,Utah Mammoth,Minnesota Wild,Minnesota Wild
2026-02-27,933,Anaheim Ducks,Winnipeg Jets,Winnipeg Jets
2026-02-28,934,New York Rangers,Pittsburgh Penguins,Pittsburgh Penguins
2026-02-28,935,Philadelphia Flyers,Boston Bruins,Boston Bruins
2026-02-28,936,San Jose Sharks,Edmonton Oilers,Edmonton Oilers
2026-02-28,937,Columbus Blue Jackets,New York Islanders,New York Islanders
2026-02-28,938,Colorado Avalanche,Chicago Blackhawks,Chicago Blackhawks
2026-02-28,939,Toronto Maple Leafs,Ottawa Senators,Ottawa Senators
2026-02-28,940,Montreal Canadiens,Washington Capitals,Washington Capitals
2026-02-28,941,Tampa Bay Lightning,Buffalo Sabres,Buffalo Sabres
2026-02-28,942,Carolina Hurricanes,Detroit Red Wings,Detroit Red Wings
2026-02-28,943,St. Louis Blues,New Jersey Devils,New Jersey Devils
2026-02-28,944,Los Angeles Kings,Calgary Flames,Calgary Flames
2026-02-28,945,Dallas Stars,Nashville Predators,Nashville Predators
2026-02-28,946,Seattle Kraken,Vancouver Canucks,Vancouver Canucks
2026-03-01,947,Pittsburgh Penguins,Vegas Golden Knights,Vegas Golden Knights
2026-03-01,948,New York Islanders,Florida Panthers,Florida Panthers
2026-03-01,949,Utah Mammoth,Chicago Blackhawks,Chicago Blackhawks
2026-03-01,950,San Jose Sharks,Winnipeg Jets,Winnipeg Jets
2026-03-01,951,Minnesota Wild,St. Louis Blues,St. Louis Blues
2026-03-01,952,Anaheim Ducks,Calgary Flames,Calgary Flames
2026-03-02,953,New York Rangers,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-02,954,Toronto Maple Leafs,Philadelphia Flyers,Philadelphia Flyers
2026-03-02,955,Nashville Predators,Detroit Red Wings,Detroit Red Wings
2026-03-02,956,Vancouver Canucks,Dallas Stars,Dallas Stars
2026-03-02,957,Seattle Kraken,Carolina Hurricanes,Carolina Hurricanes
2026-03-02,958,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche
2026-03-03,959,Boston Bruins,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-03,960,Buffalo Sabres,Vegas Golden Knights,Vegas Golden Knights
2026-03-03,961,New Jersey Devils,Florida Panthers,Florida Panthers
2026-03-03,962,Washington Capitals,Utah Mammoth,Utah Mammoth
2026-03-03,963,Columbus Blue Jackets,Nashville Predators,Nashville Predators
2026-03-03,964,Winnipeg Jets,Chicago Blackhawks,Chicago Blackhawks
2026-03-03,965,Calgary Flames,Dallas Stars,Dallas Stars
2026-03-03,966,Edmonton Oilers,Ottawa Senators,Ottawa Senators
2026-03-03,967,Minnesota Wild,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-03,968,Anaheim Ducks,Colorado Avalanche,Colorado Avalanche
2026-03-03,969,San Jose Sharks,Montreal Canadiens,Montreal Canadiens
2026-03-04,970,Detroit Red Wings,Vegas Golden Knights,Vegas Golden Knights
2026-03-04,971,New Jersey Devils,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-04,972,Vancouver Canucks,Carolina Hurricanes,Carolina Hurricanes
2026-03-04,973,Anaheim Ducks,New York Islanders,New York Islanders
2026-03-04,974,Seattle Kraken,St. Louis Blues,St. Louis Blues
2026-03-05,975,New York Rangers,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-05,976,Philadelphia Flyers,Utah Mammoth,Utah Mammoth
2026-03-05,977,Pittsburgh Penguins,Buffalo Sabres,Buffalo Sabres
2026-03-05,978,Columbus Blue Jackets,Florida Panthers,Florida Panthers
2026-03-05,979,Nashville Predators,Boston Bruins,Boston Bruins
2026-03-05,980,Winnipeg Jets,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-05,981,Calgary Flames,Ottawa Senators,Ottawa Senators
2026-03-05,982,Los Angeles Kings,New York Islanders,New York Islanders
2026-03-06,983,Detroit Red Wings,Florida Panthers,Florida Panthers
2026-03-06,984,Dallas Stars,Colorado Avalanche,Colorado Avalanche
2026-03-06,985,Chicago Blackhawks,Vancouver Canucks,Vancouver Canucks
2026-03-06,986,Edmonton Oilers,Carolina Hurricanes,Carolina Hurricanes
2026-03-06,987,Anaheim Ducks,Montreal Canadiens,Montreal Canadiens
